server_time;key;value
1714189516.627763;clicked_on_button;None
1714189528.853466;clicked_on_button;None
1714189529.411954;clicked_on_button;None
1714189529.8157818;clicked_on_button;None
1714189870.714607;document_loaded;None
1714189870.716387;document_loaded;None
1714189880.710588;document_loaded;None
1714189948.713407;document_loaded;None
1714190003.7122638;document_loaded;None
1714190006.659095;clicked_on_button;None
1714190007.040908;document_loaded;None
1714190007.041339;document_loaded;None
1714190015.929091;document_loaded;None
1714190017.7087739;document_loaded;None
1714190017.709897;document_loaded;None
1714190031.4973161;document_loaded;None
1714190031.4992561;document_loaded;None
1714190114.280538;document_loaded;None
1714190114.281044;document_loaded;None
1714190121.2149792;document_loaded;None
1714190121.215324;document_loaded;None
1714190189.711155;document_loaded;None
1714190189.711946;document_loaded;None
1714190222.719266;document_loaded;None
1714190302.711498;document_loaded;None
1714190323.713575;document_loaded;None
1714190326.6463559;input_form_change;12356
1714190326.648397;input_form_change;123565
1714190501.1810591;document_loaded;None
1714190501.182382;document_loaded;None
1714190518.698315;document_loaded;None
1714190518.699413;document_loaded;None
1714190579.771668;document_loaded;None
1714190579.7722208;document_loaded;None
1714190597.058099;document_loaded;None
1714190597.059242;document_loaded;None
1714190614.47216;document_loaded;None
1714190614.4777951;document_loaded;None
1714190653.7336981;document_loaded;None
